delta_call,volume_call,bid_call,median_price_call,ask_call,open_interest_call,price_call,strike,price_put,volume_put,bid_put,median_price_put,ask_put,open_interest_put,delta_put
0.8663,250,740.1,742.4,744.7,250,·,3350,"83,1",257,77.4,78.0,78.5,400,-0.1337
0.8577,250,718.3,720.6,722.9,250,·,3375,·,665,80.4,81.0,81.6,400,-0.1423
0.8485,250,695.6,698.4,701.2,250,·,3400,"83,0",257,83.8,84.4,85.0,425,-0.1515
0.8392,450,674.8,677.1,679.4,250,·,3425,·,507,87.2,87.8,88.4,250,-0.1608
0.835,250,652.6,655.2,657.7,250,·,3450,·,633,90.8,91.3,91.9,640,-0.165
0.8248,250,632.0,634.5,636.6,250,·,3475,·,184,94.6,95.1,95.6,250,-0.1752
0.8196,450,610.8,613.0,615.4,250,·,3500,"99,2",250,98.3,98.8,99.4,250,-0.1804
0.8089,250,588.9,591.5,594.1,250,·,3525,·,250,102.3,102.8,103.2,620,-0.1911
0.8023,250,567.6,570.2,572.8,250,·,3550,"109,4",627,106.7,107.2,107.6,187,-0.1977
0.791,250,546.8,549.5,552.1,250,·,3575,·,400,111.1,111.6,112.1,231,-0.209
0.7832,250,526.5,529.1,531.8,250,"531,0",3600,"130,0",400,115.5,116.0,116.6,250,-0.2168
0.771,250,506.3,508.9,510.6,250,·,3625,·,400,120.3,121.1,121.9,1102,-0.229
0.7633,250,487.2,489.0,490.8,250,·,3650,"129,5",591,125.2,125.9,126.4,239,-0.2367
0.7505,250,467.1,468.9,470.7,450,·,3675,·,572,130.4,131.2,131.9,10,-0.2495
0.7422,250,446.9,448.6,450.4,250,·,3700,"142,5",375,136.1,136.6,137.1,208,-0.2578
0.7284,250,427.7,429.4,431.1,250,·,3725,"156,1",595,141.6,142.2,142.8,245,-0.2716
0.7187,250,408.3,410.1,411.8,250,·,3750,·,375,147.9,148.4,148.9,204,-0.2813
0.704,250,389.1,390.8,392.5,250,·,3775,·,605,154.1,154.7,155.4,400,-0.296
0.6925,250,370.4,372.0,373.6,250,·,3800,·,250,160.5,161.3,162.1,250,-0.3075
0.6772,250,352.5,353.6,354.7,250,·,3825,"176,4",195,167.2,167.8,168.5,199,-0.3228
0.6639,250,334.3,335.6,336.9,250,"333,5",3850,"177,5",250,174.2,174.8,175.5,650,-0.3361
0.648,250,316.8,317.9,318.9,400,·,3875,·,600,181.4,182.3,183.2,650,-0.352
0.6675,200,299.3,300.6,301.8,250,·,3900,"191,0",250,189.1,189.9,190.7,596,-0.3325
0.6443,250,282.6,283.6,284.5,588,·,3925,·,250,197.4,197.9,198.8,153,-0.3557
0.621,250,265.8,267.1,268.2,650,"253,7",3950,"201,7",250,205.6,206.6,207.8,250,-0.379
0.5972,250,249.1,250.4,251.7,250,·,3975,·,250,214.5,215.4,216.3,246,-0.4028
0.573,400,233.1,234.1,235.2,571,·,4000,"235,0",250,224.1,225.1,226.1,250,-0.427
0.5489,400,218.1,219.2,220.3,200,"220,0",4025,"243,0",200,232.8,234.3,235.7,200,-0.4511
0.5251,400,202.7,203.8,204.9,10,·,4050,·,650,243.3,245.0,246.0,400,-0.4749
0.5008,400,188.1,188.8,189.9,10,"181,6",4075,·,650,254.4,255.6,256.9,400,-0.4992
0.4769,250,173.8,175.1,176.1,614,"175,7",4100,·,200,265.7,266.9,268.1,400,-0.5231
0.4534,250,160.0,161.2,162.4,870,"153,1",4125,·,250,277.1,278.4,279.6,600,-0.5466
0.4298,250,147.3,148.4,149.6,400,"147,2",4150,"302,2",592,289.2,290.5,291.8,600,-0.5702
0.4067,415,135.1,136.1,137.0,400,"128,6",4175,·,368,301.7,303.0,304.4,600,-0.5933
0.3844,595,123.3,124.5,125.4,400,"127,1",4200,·,430,314.7,316.0,317.5,564,-0.6156
0.362,608,112.2,113.2,114.1,883,·,4225,·,250,328.6,330.0,331.4,400,-0.638
0.3409,199,101.6,102.3,103.1,614,"96,2",4250,·,250,343.2,344.8,346.3,250,-0.6591
0.3199,622,91.6,92.3,93.1,400,·,4275,·,250,358.4,359.9,361.5,250,-0.6801
0.2998,612,82.3,82.9,83.6,400,"84,2",4300,·,250,373.9,375.6,377.3,450,-0.7002
0.2803,622,73.7,74.2,74.7,400,·,4325,·,250,390.3,392.2,394.1,250,-0.7197
0.2614,425,65.7,66.3,66.8,629,·,4350,·,250,407.2,409.2,411.2,450,-0.7386
0.2435,425,58.3,58.8,59.4,400,·,4375,·,250,424.8,427.8,430.8,399,-0.7565
0.2263,450,51.5,52.0,52.5,238,"51,2",4400,·,250,442.7,445.6,448.5,250,-0.7737
0.2101,688,45.2,45.6,46.1,650,·,4425,·,250,462.1,464.3,466.4,250,-0.7899
0.1728,514,39.5,40.1,40.7,650,"40,8",4450,·,250,481.1,483.3,485.5,450,-0.8272
0.1579,250,34.6,35.0,35.5,650,·,4475,·,450,500.8,503.1,505.5,250,-0.8421
0.1441,238,30.1,30.6,31.1,250,"30,3",4500,·,450,521.5,523.9,526.3,250,-0.8559
0.1311,400,25.9,26.4,26.8,400,·,4525,·,250,542.5,546.5,550.4,127,-0.8689
0.119,750,22.5,22.9,23.3,650,·,4550,·,250,565.5,567.8,570.4,250,-0.881
0.1079,987,19.4,19.8,20.2,250,·,4575,·,250,587.2,589.7,592.1,250,-0.8921
0.0893,500,16.7,17.1,17.4,250,·,4600,·,250,610.2,612.8,615.4,250,-0.9107
0.0802,250,14.4,14.8,15.1,750,·,4625,·,250,630.6,635.2,638.2,250,-0.9198
0.069,150,12.3,12.7,13.1,650,"13,1",4650,·,250,655.2,658.7,662.1,250,-0.931
0.0615,250,10.6,10.9,11.3,775,·,4675,·,250,679.4,682.1,684.9,250,-0.9385
0.0497,275,9.1,9.4,9.7,10,·,4700,·,250,702.3,705.0,709.7,200,-0.9503
0.0437,300,7.8,8.2,8.5,300,·,4725,·,250,723.6,727.8,731.9,250,-0.9563
0.0375,300,6.7,7.1,7.4,325,·,4750,·,250,749.9,752.7,755.5,450,-0.9625
0.0327,325,5.8,6.2,6.5,850,·,4775,·,250,774.9,777.6,780.5,250,-0.9673
0.0263,775,4.9,5.3,5.7,775,·,4800,·,250,799.5,803.0,806.6,250,-0.9737
0.0228,900,4.2,4.6,4.9,400,·,4825,·,250,823.0,826.6,830.3,250,-0.9772
0.0196,925,3.6,4.0,4.3,689,·,4850,·,200,848.6,851.5,854.5,200,-0.9804
0.017,1000,3.1,3.5,3.8,764,·,4875,·,200,873.1,876.1,879.1,200,-0.983
0.0145,1050,2.7,3.0,3.3,714,·,4900,·,200,893.6,901.0,908.4,122,-0.9855
0.0121,1150,2.3,2.6,3.0,650,·,4925,·,200,922.7,925.9,928.9,200,-0.9879
0.0101,1175,2.0,2.4,2.7,675,·,4950,·,122,942.9,950.3,957.8,200,-0.9899
0.0088,1250,1.7,2.0,2.4,1014,·,4975,·,200,972.4,975.5,978.5,200,-0.9912
0.0078,1250,1.4,1.8,2.2,750,·,5000,·,121,993.5,1001.0,1008.4,200,-0.9922
