"Symbol","Descrizione","Prezzo","Riferimento","Trend %","Qta","Prz. Medio","G/L €","G/L %","Recupero","""
"EU.OS2I0G","Op.STX50 C 4150 2209","27,7","23,9","+15,90%","-1","89,9€","587€","+65,28%","-312€",""
"EU.OS2I0I","Op.STX50 C 4250 2209","16,3","14,4","+13,19%","-2","58,8€","805€","+68,51%","-370€",""
"EU.OS2I0Z","Op.STX50 C 4000 2209","59,5","50,4","+18,06%","1","155,8€","-919€","-58,97%","639€",""
"EU.OS2L0A","Op.STX50 C 4150 2212","59,7","48,7","+22,59%","-1","128,5€","654€","+50,88%","-631€",""
"EU.OS2L0B","Op.STX50 C 4250 2212","40,5","32,5","+24,62%","-2","91,8€","987€","+53,79%","-848€",""
"EU.OS2L24","Op.STX50 C 4000 2212","104,6","86,0","+21,63%","1","198,4€","-933€","-47,01%","1.051€",""
"EU.OS2U0V","Op.STX50 P 3500 2209","162,0","194,2","-16,58%","-1","141,1€","-195€","-13,79%","-1.605€",""
"EU.OS2U0W","Op.STX50 P 3600 2209","195,9","233,1","-15,96%","-1","165,0€","-294€","-17,79%","-1.944€",""
"EU.OS2U0X","Op.STX50 P 3700 2209","241,7","279,1","-13,40%","1","193,9€","387€","+19,94%","2.325€",""
"EU.OS2X1X","Op.STX50 P 3400 2212","190,7","219,2","-13,00%","-1","152,7€","-364€","-23,81%","-1.890€",""
"EU.OS2X1Y","Op.STX50 P 3500 2212","222,0","254,5","-12,77%","-1","175,3€","-454€","-25,88%","-2.206€",""
"EU.OS2X20","Op.STX50 P 3600 2212","257,7","294,8","-12,58%","1","202,3€","517€","+25,54%","2.539€",""
"","","","","","","","779€","+4,09%","-3.251€",""
